start_time,end_time,duration,average_B,MFR_axis_x,MFR_axis_y,MFR_axis_z,altitude,azimuth,beta,diameter,speed,density
2023-02-15/19:31:00,2023-02-15/20:17:00,46,11.299,-0.303059638,-0.624655783,-0.719694376,136.03,-115.88,0.145520583,470179.1876,342.743,14.92
2023-02-15/20:39:00,2023-02-16/01:54:00,315,11.738,-0.989950299,-0.017759979,0.14029631,81.93,-178.97,0.179868251,654653.4129,358.411,13.838
2023-02-16/03:09:00,2023-02-16/03:47:00,38,13.527,-0.582462668,0.812245011,-0.031549599,91.81,125.64,0.15996398,325050.1255,377.994,12.495
2023-02-16/04:36:00,2023-02-16/07:54:00,198,18.214,-0.060287029,0.851979494,-0.520092785,121.34,94.05,0.096461192,2327041.294,391.087,11.602
2023-02-16/08:28:00,2023-02-16/09:06:00,38,21.532,-0.402844369,0.733830154,-0.547000647,123.16,118.77,0.03579703,435584.8119,403.047,10.79
2023-02-16/10:50:00,2023-02-16/13:13:00,143,16.672,-0.585937738,0.81030196,-0.009365749,90.54,125.87,0.305685937,1004704.681,428.308,10.907
2023-02-16/13:32:00,2023-02-16/14:10:00,38,18.448,0.177647069,0.659404039,-0.730498433,136.93,74.92,0.125718519,533517.7513,429.684,7.951
2023-02-16/16:08:00,2023-02-16/17:07:00,59,12.654,-0.665421784,-0.393805802,0.634137928,50.64,-149.38,0.762213707,451434.1985,416.483,9.365
2023-02-17/20:36:00,2023-02-17/21:16:00,40,4.444,-0.346490741,0.880656064,0.323092937,71.15,111.48,0.340646386,460137.0835,444.557,2.067
2023-02-18/03:30:00,2023-02-18/04:38:00,68,5.178,-0.264590353,0.95471704,-0.136041656,97.82,105.49,0.205261201,761541.8446,412.461,2.843
2023-02-18/07:21:00,2023-02-18/09:04:00,103,4.735,0.399564564,0.901312053,0.167286724,80.37,66.09,0.352666646,1257658.343,395.673,3.256
2023-02-18/12:01:00,2023-02-18/12:34:00,33,4.949,-0.062431056,0.985098243,-0.16026172,99.22,93.63,0.359422594,454959.4114,391.888,3.394
2023-02-18/13:12:00,2023-02-18/14:20:00,68,5.214,-0.36586982,0.921985209,-0.126817301,97.29,111.64,0.319068313,782054.415,391.417,3.468
2023-02-18/16:59:00,2023-02-18/18:17:00,78,4.5,-0.906707406,0.342331171,-0.246355504,104.26,159.32,0.440557361,391467.6498,390.424,3.66
2023-02-18/18:46:00,2023-02-18/19:42:00,56,4.422,-0.182439804,0.978489876,-0.096297793,95.53,100.56,0.453279495,643109.4031,390.115,3.74
2023-02-18/19:43:00,2023-02-18/20:29:00,46,4.38,0.339332968,0.851012766,-0.400787205,113.63,68.26,0.491484374,570072.9979,389.973,3.783
2023-02-18/21:22:00,2023-02-18/22:02:00,40,4.796,0.667752564,0.702779949,-0.24537088,104.2,46.46,0.54346019,341816.1371,389.759,3.863
2023-02-18/23:54:00,2023-02-19/01:12:00,78,4.383,-0.048805315,0.511126399,-0.858118773,149.11,95.45,0.378610641,911143.8388,392.551,4.022
2023-02-19/07:33:00,2023-02-19/10:51:00,198,4.588,0.107710615,0.93510735,-0.337598532,109.73,83.43,0.410765827,2750414.956,371.793,5.736
2023-02-19/10:52:00,2023-02-19/13:29:00,157,4.881,0.230472833,0.768019378,-0.597518682,126.69,73.3,0.322783262,1856670.721,368.634,6.522
2023-02-19/18:00:00,2023-02-19/18:53:00,53,5.512,-0.004658073,0.528361142,-0.849006951,148.1,90.51,0.371186137,563739.6841,362.659,8.178
2023-02-19/21:23:00,2023-02-19/22:00:00,37,5.308,-0.996664703,-0.070990056,0.040247872,87.69,-175.93,0.544362843,67779.14449,342.482,6.904
2023-02-19/23:43:00,2023-02-20/00:20:00,37,5.887,-0.853996694,0.481922269,0.196062967,78.69,150.56,0.425300241,100371.1518,329.845,6.475
2023-02-20/04:33:00,2023-02-20/05:24:00,51,5.281,-0.486312985,0.864171863,-0.12925458,97.43,119.37,0.614031374,432516.5355,342.951,5.918
2023-02-20/08:26:00,2023-02-20/10:14:00,108,5.524,0.751508653,0.659041464,-0.029986044,91.72,41.25,0.295426548,730132.7944,353.196,6.932
2023-02-21/08:19:00,2023-02-21/14:38:00,379,11.923,-0.390933156,0.471209109,-0.790653706,142.25,129.68,0.119085222,3698954.4,392.911,6.293
2023-02-21/17:20:00,2023-02-21/18:28:00,68,9.032,-0.773659766,0.595233202,0.217136085,77.46,142.43,0.264237612,410695.1262,390.489,6.346
2023-02-21/20:21:00,2023-02-21/20:51:00,30,7.326,-0.127097696,0.919797003,0.371240765,68.21,97.87,0.537328541,374102.5857,422.188,6.584
2023-02-21/22:40:00,2023-02-21/23:31:00,51,8.571,-0.463918895,0.881756008,-0.08535596,94.9,117.75,0.357868314,469656.0572,418.993,6.181
2023-02-22/08:41:00,2023-02-22/12:29:00,228,9.024,-0.96045965,0.27004379,-0.067776695,93.89,164.3,0.111689523,725910.4049,404.853,4.275
2023-02-22/23:43:00,2023-02-23/00:25:00,42,9.045,-0.617650867,0.576910913,-0.534491658,122.31,136.95,0.216997147,487284.6353,484.862,3.472
2023-02-23/14:02:00,2023-02-23/14:51:00,49,7.941,-0.934527159,-0.110566795,-0.338281035,109.77,-173.25,0.266046494,354068.2646,555.835,2.817
2023-02-25/09:55:00,2023-02-25/10:27:00,32,5.056,-0.209696233,0.871928334,-0.442457318,116.26,103.52,0.303071886,290554.805,404.181,4.128
2023-02-25/12:05:00,2023-02-25/12:47:00,42,4.804,0.001996309,0.996581554,-0.08259102,94.74,89.89,0.585617483,609863.064,407.362,5.756
2023-02-25/12:57:00,2023-02-25/13:53:00,56,5.072,-0.633288622,0.694227457,-0.342043668,110,132.37,0.615335703,465586.7173,408.756,6.468
2023-02-25/16:38:00,2023-02-25/21:00:00,262,9.109,0.113034151,0.433105171,-0.894227743,153.41,75.37,0.313133955,2410151.362,416.451,10.375
2023-02-25/23:23:00,2023-02-26/00:16:00,53,9.296,-0.907540441,0.41549924,-0.061079931,93.5,155.4,0.718249619,278257.1043,423.639,14
2023-02-27/01:33:00,2023-02-27/02:29:00,56,12.784,0.2935642,-0.9552899,-0.035232786,92.02,-72.92,0.970183969,977205.5558,669.545,7.74
2023-03-01/00:06:00,2023-03-01/01:17:00,71,6.211,0.498216212,-0.449167103,0.741639733,42.13,-42.04,0.376312941,1066203.4,620.908,1.949
2023-03-01/07:28:00,2023-03-01/09:11:00,103,6.348,0.302827775,-0.689493239,0.657947123,48.86,-66.29,0.185226858,1459699.552,591.995,2.365
2023-03-01/09:39:00,2023-03-01/19:40:00,601,5.596,-0.968539596,-0.014277183,-0.248449728,104.39,-179.16,0.114740618,2585155.854,571.471,2.443
2023-03-01/21:48:00,2023-03-02/00:48:00,180,5.848,-0.558149934,0.359969348,0.747590005,41.62,147.18,0.195564166,2450772.105,528.52,2.352
2023-03-02/04:45:00,2023-03-02/06:07:00,82,4.32,0.99727428,-0.040211324,-0.061863754,93.55,-2.31,0.66173625,59379.00113,495.984,2.295
2023-03-02/07:24:00,2023-03-02/08:17:00,53,3.633,0.617740929,-0.50601536,-0.601950645,127.01,-39.32,0.838939965,560651.9845,483.36,2.272
2023-03-02/09:28:00,2023-03-02/09:58:00,30,4.117,-0.494095176,-0.431449711,0.75479871,40.99,-138.87,0.548707664,367876.9797,473.891,2.256
2023-03-02/16:31:00,2023-03-02/18:14:00,103,7.192,0.343521178,-0.903662741,0.255708516,75.18,-69.19,0.078285486,1328542.616,479.629,3.739
2023-03-04/11:54:00,2023-03-04/12:34:00,40,5.28,0.592573345,-0.473157525,0.651903987,49.31,-38.61,0.724028885,826547.043,629.276,1.517
2023-03-05/06:03:00,2023-03-05/06:59:00,56,5.915,0.779622495,-0.541640043,0.31434828,71.68,-34.79,0.687131286,712089.0185,653.449,2.545
2023-03-05/08:54:00,2023-03-05/09:45:00,51,6.488,0.530195534,-0.816876471,-0.227168724,103.13,-57.01,0.532927871,910094.1861,638.803,2.519
2023-03-05/10:22:00,2023-03-05/11:02:00,40,7.317,0.708379924,-0.67985338,-0.189729273,100.94,-43.82,0.264359981,506626.8092,631.638,2.505
2023-03-05/11:32:00,2023-03-05/12:14:00,42,6.993,0.900521934,-0.411169529,-0.141421393,98.13,-24.54,0.526181757,282777.2962,625.503,2.493
2023-03-05/12:36:00,2023-03-05/13:38:00,62,6.78,0.425236672,-0.893714011,-0.143000394,98.22,-64.55,0.53211683,1040043.676,619.139,2.481
2023-03-05/14:59:00,2023-03-05/16:10:00,71,7.336,0.68753624,-0.721321344,-0.083602749,94.8,-46.37,0.264856637,996690.2051,606.55,2.456
2023-03-05/18:53:00,2023-03-05/19:44:00,51,6.421,0.971361339,-0.152389422,-0.182303682,100.5,-8.92,0.268652081,192645.3215,587.695,2.419
2023-03-05/20:34:00,2023-03-05/21:12:00,38,4.915,-0.474764645,-0.113923691,0.87270838,29.23,-166.51,0.80591625,648392.1745,579.842,2.403
2023-03-07/12:18:00,2023-03-07/13:04:00,46,3.636,0.92456907,-0.369767874,0.091889858,84.73,-21.8,0.475559771,212663.1851,567.266,1.42
2023-03-07/14:16:00,2023-03-07/15:59:00,103,3.739,0.849136889,-0.465406239,0.24972713,75.54,-28.73,0.362857014,729586.3622,555.251,1.357
2023-03-07/21:24:00,2023-03-07/22:50:00,86,3.296,0.260157973,-0.599102795,0.757227659,40.78,-66.53,0.47785902,1129540.525,458.258,2.038
2023-03-07/23:58:00,2023-03-08/00:38:00,40,3.101,-0.091689445,-0.659682631,0.745930195,41.76,-97.91,0.463061124,408760.3266,451.119,2.089
2023-03-08/02:02:00,2023-03-08/02:42:00,40,3.613,0.967387438,-0.234465688,0.09585119,84.5,-13.62,0.284763247,118003.876,444.212,2.151
2023-03-08/07:42:00,2023-03-08/09:35:00,113,3.845,0.733344674,-0.532569587,-0.422581702,115,-35.99,0.296217173,834236.0607,423.993,2.34
2023-03-08/11:19:00,2023-03-08/13:12:00,113,4.227,0.938433528,-0.098793805,0.331032187,70.67,-6.01,0.240525708,399407.1252,412.896,2.448
2023-03-08/13:23:00,2023-03-08/14:03:00,40,4.395,0.760668993,-0.615363359,0.206665486,78.07,-38.97,0.229551435,451131.5853,409.814,2.62
2023-03-08/15:07:00,2023-03-08/16:06:00,59,4.327,0.595151484,-0.798249841,0.092693187,84.68,-53.29,0.258740783,496056.7159,413.474,2.655
2023-03-08/16:14:00,2023-03-08/17:28:00,74,4.403,0.247742265,-0.952029765,0.17961973,79.65,-75.41,0.249806568,840285.7624,417.457,2.772
2023-03-08/19:58:00,2023-03-08/20:47:00,49,4.621,0.817503393,-0.31430313,0.48259902,61.14,-21.03,0.264283061,284230.275,404.773,3.053
2023-03-08/20:49:00,2023-03-08/22:23:00,94,4.58,0.409209669,-0.909744203,-0.070093066,94.02,-65.78,0.291849077,1146734.774,404.361,3.373
2023-03-09/01:12:00,2023-03-09/01:44:00,32,5.231,0.239462748,-0.951072216,-0.195241734,101.26,-75.87,0.211106911,468183.8828,403.322,4.385
2023-03-09/03:14:00,2023-03-09/07:02:00,228,6.73,0.777678788,-0.436161965,-0.452745438,116.92,-29.29,0.167185053,1508746.315,402.736,5.344
2023-03-09/07:13:00,2023-03-09/08:12:00,59,8.085,-0.040484805,0.126086116,-0.991192877,172.39,107.8,0.074656561,1008111.459,402.518,6.017
2023-03-09/09:56:00,2023-03-09/11:22:00,86,7.135,0.691089332,-0.721917808,0.035074618,87.99,-46.25,0.441195995,699391.6948,407.516,6.595
2023-03-09/13:25:00,2023-03-09/15:29:00,124,5.443,0.955066144,-0.276470959,-0.106829666,96.13,-16.14,0.897530615,261525.1322,419.8,6.202
2023-03-09/15:32:00,2023-03-09/16:12:00,40,5.918,0.697996378,-0.592760384,0.401791245,66.31,-40.34,0.700499535,318623.1672,411.744,5.843
2023-03-09/23:31:00,2023-03-10/00:39:00,68,4.452,0.669197857,-0.679753065,-0.300183356,107.47,-45.45,0.710149348,432545.3864,383.48,3.651
2023-03-10/23:38:00,2023-03-11/01:17:00,99,5.327,0.386889815,0.191183716,-0.902089298,154.43,26.3,0.296794534,851983.4787,354.701,4.694
2023-03-11/04:28:00,2023-03-11/05:30:00,62,5.399,0.825874031,0.38032344,-0.416276693,114.6,24.73,0.262045681,329655.948,344.756,4.377
2023-03-11/11:29:00,2023-03-11/12:11:00,42,5.596,0.512237549,0.832578242,-0.21077545,102.17,58.4,0.298358798,400148.4672,335.993,5.156
2023-03-11/16:35:00,2023-03-11/17:26:00,51,5.661,0.734587133,0.319840878,0.598400891,53.24,23.53,0.372662485,375069.8942,347.262,6.063
2023-03-11/17:27:00,2023-03-11/19:01:00,94,5.434,0.652980208,-0.725037515,0.218946427,77.35,-47.99,0.461387098,652310.4501,349.978,6.277
2023-03-11/19:16:00,2023-03-11/20:24:00,68,5.409,-0.225223392,0.665298462,0.71179527,44.62,108.7,0.692590952,823733.6269,353.548,6.557
2023-03-11/22:01:00,2023-03-11/23:35:00,94,5.613,-0.690184474,-0.673932374,-0.263553917,105.28,-135.68,0.64807272,736848.6738,360.244,7.077
2023-03-12/00:23:00,2023-03-12/00:58:00,35,5.731,-0.081799753,-0.788807869,-0.609172344,127.53,-95.92,0.820278645,482968.6075,364.522,7.405
2023-03-12/03:56:00,2023-03-12/04:47:00,51,5.514,0.375046074,-0.54848963,0.747328401,41.64,-55.64,0.896473527,398757.2156,359.63,7.562
2023-03-12/06:18:00,2023-03-12/08:11:00,113,8.21,-0.05184602,-0.912659526,-0.405419022,113.92,-93.25,0.176038712,1219073.502,370.409,5.014
